System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:44:20:121, 749180809759648,    0.121,    5.000, 1100,   1.947,   0.235,   0.065,   0.509,   0.061,   0.017, 43,  0,   0.000,   0.000,   0.000,   0.038,   0.005,   0.001,  19.000,  40.000, 121.000,   0.000,   0.000,   11,  90.213
13:44:20:229, 749181079577636,    0.229,    4.000, 1300,   1.684,   0.417,   0.116,   0.392,   0.104,   0.029, 43,  0,   0.000,   0.000,   0.000,   0.017,   0.006,   0.002,  19.000,  40.000, 121.000,   0.000,   0.000,    4,  81.639
13:44:20:337, 749181349600521,    0.337,    4.000, 1200,   1.597,   0.590,   0.164,   0.467,   0.154,   0.043, 43,  0,   0.000,   0.000,   0.000,   0.021,   0.009,   0.002,  19.000,  40.000, 121.000,   0.000,   0.000,    4,  76.675
13:44:20:445, 749181619037858,    0.445,    3.000, 1200,   1.576,   0.760,   0.211,   0.501,   0.208,   0.058, 43,  0,   0.000,   0.000,   0.000,   0.003,   0.009,   0.003,  19.000,  40.000, 121.000,   0.000,   0.000,  233,  63.761
13:44:20:555, 749181893237060,    0.555,    2.000, 1100,   2.774,   1.064,   0.296,   0.330,   0.245,   0.068, 43,  0,   0.000,   0.000,   0.000,   0.044,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  76.494
13:44:20:664, 749182165391641,    0.664,    3.000, 1100,   1.345,   1.211,   0.336,   0.458,   0.295,   0.082, 43,  0,   0.000,   0.000,   0.000,   0.003,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    1,  76.680
13:44:20:773, 749182436172381,    0.772,    1.000, 1100,   0.932,   1.312,   0.364,   0.246,   0.321,   0.089, 43,  0,   0.000,   0.000,   0.000,   0.011,   0.016,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    5,  87.238
13:44:20:823, 749182561096102,    0.822,    4.000, 1100,   1.185,   1.372,   0.381,   0.266,   0.335,   0.093, 42,  0,   0.000,   0.000,   0.000,   0.054,   0.018,   0.005,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  70.543

Total Elapsed Time (sec) = 0.822205
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 1.371521
Cumulative Processor Energy_0 (mWh) = 0.380978
Average Processor Power_0 (Watt) = 1.668101

Cumulative IA Energy_0 (Joules) = 0.334595
Cumulative IA Energy_0 (mWh) = 0.092943
Average IA Power_0 (Watt) = 0.406948

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.018311
Cumulative GT Energy_0 (mWh) = 0.005086
Average GT Power_0 (Watt) = 0.022270
