System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:32:41:952, 727209071980026,    0.122,   18.000, 2000,   5.116,   0.622,   0.173,   2.066,   0.251,   0.070, 45,  0,   0.000,   0.000,   0.000,   0.014,   0.002,   0.000,  19.000,  40.000, 121.000,   0.000,   0.000,    4,  94.068
00:32:42:062, 727209347705059,    0.232,   17.000, 1300,   6.700,   1.362,   0.378,   2.808,   0.561,   0.156, 45,  0,   0.000,   0.000,   0.000,   0.014,   0.003,   0.001,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  57.963
00:32:42:157, 727209583481814,    0.326,   26.000, 3700,   7.607,   2.080,   0.578,   3.392,   0.882,   0.245, 47,  0,   0.000,   0.000,   0.000,   0.022,   0.005,   0.001,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  88.967
00:32:42:268, 727209862313967,    0.438,   15.000, 1200,   6.584,   2.816,   0.782,   2.490,   1.160,   0.322, 45,  0,   0.000,   0.000,   0.000,   0.076,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,   25,  67.787
00:32:42:379, 727210140074053,    0.549,   14.000, 1400,   4.925,   3.364,   0.934,   2.342,   1.421,   0.395, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  77.477
00:32:42:490, 727210415070298,    0.660,   15.000, 2000,   4.966,   3.911,   1.086,   1.783,   1.617,   0.449, 46,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  75.356
00:32:42:601, 727210691950691,    0.771,   16.000, 2000,   4.908,   4.456,   1.238,   1.435,   1.776,   0.493, 46,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  72.742
00:32:42:708, 727210960232046,    0.878,   25.000, 1100,   5.756,   5.074,   1.410,   1.599,   1.948,   0.541, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  94.206
00:32:42:819, 727211235991347,    0.989,   19.000, 1300,   5.820,   5.717,   1.588,   2.242,   2.196,   0.610, 45,  0,   0.000,   0.000,   0.000,   0.001,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  76.987
00:32:42:930, 727211513688073,    1.100,   18.000, 3300,   8.087,   6.617,   1.838,   3.837,   2.623,   0.728, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  19.000,  40.000, 121.000,   0.000,   0.000,    4,  73.353
